5.0,5.0,12.0,12.0,10.0,9.0,7.0,0.0,1.0,5.0,2.4,4.0,0.0,5.0,4.0,1.0,0.0,1.0,2.0,0.0,7.0,3.0,2.0,4.0,3.0,0.0,3.0,1.0,0.0,6.0
6.0,4.0,16.0,15.0,14.0,9.0,9.0,0.0,0.0,4.0,4.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,1.0,2.0,8.0,3.0,1.0,5.0,3.0,0.0,4.0,1.0,0.0,5.0
7.0,6.0,20.0,18.0,14.0,12.0,9.0,1.0,0.0,6.0,3.33,0.0,0.0,5.0,4.0,2.0,0.0,0.0,2.0,3.0,4.0,0.0,8.0,5.0,3.6,0.0,3.0,2.0,0.0,3.0
8.0,7.0,22.0,19.0,18.0,13.0,12.0,1.0,7.0,7.0,3.14,3.43,0.0,5.0,5.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,7.0,2.71,0.0,5.0,2.0,0.0,6.0
1.0,1.0,5.0,4.0,2.0,2.0,0.0,2.0,3.0,1.0,2.0,2.67,5.0,4.0,1.0,0.0,2.0,1.0,1.0,0.0,4.0,0.0,3.0,1.0,5.0,5.0,0.0,1.0,0.0,6.0
2.0,2.0,7.0,7.0,6.0,5.0,5.0,1.0,2.0,2.0,3.5,1.5,5.0,4.0,1.0,1.0,2.0,0.0,0.0,1.0,6.0,0.0,2.0,2.0,3.5,5.0,1.0,1.0,0.0,8.0
3.0,3.0,9.0,7.0,7.0,6.0,5.0,1.0,1.0,3.0,3.0,1.0,5.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,5.0,1.0,4.0,4.0,1.75,5.0,4.0,0.0,0.0,3.0
4.0,4.0,11.0,10.0,10.0,10.0,9.0,2.0,2.0,2.0,5.0,3.0,5.0,4.0,0.0,2.0,2.0,0.0,0.0,1.0,6.0,1.0,0.0,4.0,2.75,5.0,3.0,1.0,0.0,3.0
5.0,6.0,14.0,13.0,11.0,10.0,9.0,2.0,1.0,3.0,4.33,3.0,5.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,8.0,1.0,2.0,6.0,2.33,5.0,5.0,1.0,0.0,4.0
6.0,7.0,20.0,16.0,14.0,13.0,13.0,0.0,1.0,4.0,3.5,1.0,5.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,8.0,0.0,1.0,7.0,2.86,5.0,5.0,2.0,2.0,6.0
1.0,1.0,4.0,4.0,3.0,2.0,0.0,0.0,3.0,1.0,4.0,3.0,4.0,4.0,0.0,1.0,2.0,1.0,2.0,0.0,4.0,0.0,3.0,1.0,4.0,4.0,0.0,1.0,0.0,1.0
2.0,2.0,6.0,6.0,5.0,3.0,2.0,1.0,2.0,2.0,3.0,3.5,3.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,6.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,0.0,2.0
3.0,3.0,8.0,7.0,5.0,5.0,3.0,1.0,1.0,3.0,2.67,5.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,1.0,8.0,6.0,1.0,3.0,2.33,3.0,2.0,1.0,0.0,2.0
4.0,4.0,13.0,11.0,9.0,8.0,5.0,0.0,0.0,4.0,2.75,0.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,4.0,3.25,2.0,2.0,2.0,1.0,4.0
5.0,5.0,16.0,14.0,11.0,9.0,8.0,1.0,0.0,4.0,3.5,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,5.0,3.2,2.0,3.0,2.0,1.0,2.0
6.0,5.0,16.0,14.0,11.0,9.0,8.0,4.0,0.0,4.0,3.5,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,4.0,4.0,1.0,5.0,3.2,2.0,3.0,2.0,1.0,2.0
7.0,6.0,19.0,19.0,16.0,15.0,8.0,1.0,1.0,5.0,3.8,3.0,2.0,3.0,2.0,3.0,1.0,0.0,0.0,4.0,7.0,6.0,0.0,6.0,3.17,2.0,4.0,2.0,1.0,4.0
8.0,6.0,22.0,20.0,19.0,17.0,13.0,1.0,0.0,6.0,3.67,0.0,0.0,5.0,3.0,3.0,0.0,0.0,0.0,4.0,4.0,6.0,0.0,5.0,4.0,0.0,2.0,3.0,0.0,2.0
9.0,6.0,22.0,20.0,19.0,17.0,13.0,3.0,2.0,6.0,3.67,4.5,0.0,5.0,3.0,3.0,1.0,1.0,1.0,4.0,7.0,13.0,0.0,5.0,4.0,0.0,2.0,3.0,0.0,6.0
10.0,7.0,28.0,24.0,20.0,20.0,13.0,1.0,1.0,7.0,4.0,3.0,2.0,3.0,3.0,4.0,1.0,0.0,0.0,5.0,6.0,1.0,1.0,7.0,3.43,2.0,4.0,3.0,1.0,1.0
